
And|Andromeda|677-3092-5447 9640-5447-4436-3881
Ant|Antlia|51172-48926
Aps|Apus|72370-81065-81852
Aql|Aquila|98036-97649-97278 97649-95501-97804 99473-97804 95501-93747-93244 95501-93805
Aqr|Aquarius|106278-109074-110395-110960-111497-112961-114855-115438 109074-110003-109139 110003-111123-112716-113136-114341 102618-106278
Ara|Ara|88714-85792-83081-82363-85727-85267-85258-88714
Ari|Aries|13209-9884-8903-8832
Aur|Auriga|28380-28360-24608-23453-23015 25428-23015 25428-28380
Boo|Bootes|71795-69673-72105-74666-73555-71075-71053-69673-67927-67459
CMa|Canis Major|33160-34045-33347-32349-33977-34444-35037-35904 33579-33856-34444 33856-33152-31592-31416 31592-30324 31592-32349 33579-32759 30122-33579 33347-33160
CMi|Canis Minor|37279-36188
Cae|Caelum|21060-21770-21861
Cam|Camelopardalis|16228-18505-22783 16228-17959-22783 17959-25110
Cap|Capricornus|100064-100345-104139-105515-106985-107556 105515-105881-104139 100345-102485 104139-102978
Car|Carina|45238-50099-52419-52468-54463-53253-51232-50371-45556 42568-41037-30438 45080-45556 45080-42568 30438-31685 41037-39429
Cas|Cassiopeia|8886-6686-4427-3179-746
Cen|Centaurus|71683-68702-66657-68002-68282-67472-67464-65936-65109 67464-68933 67472-71352-73334 68002-61932-60823-59196-56480-56561
Cep|Cepheus|109492-112724-106032-105199-109492 112724-116727-106032
Cet|Cetus|10324-11484 8102-3419-1562 3419-5364-6537-8645-11345-12390-12770-11783-8102 10826-12390 10826-12387-12706-14135-13954-12828-11484-12093-12706
Cha|Chamaeleon|40702-51839-60000
Cir|Circinus|71908-75323 71908-74824
Cnc|Cancer|43103-42806-40843 42806-42911-40526 42911-44066
Col|Columba|30277-29807-28199-27628-28328 27628-26634-25859
Com|Coma Berenices|64241-64394-60742
CrA|Corona Australis|91875-92989-93174-93825-94114-94160-94005-93542-92953 91875-90887
CrB|Corona Borealis|76127-75695-76267-76952-77512-78159-78493
